         Available Data items for the following Database Selection:

          DATABASES: Special Merger Sectors (Aus/NZ) (MA, OMA, IMA)
          MA   - Mergers & Acquisitions
Deal Status Rollup (Code)                                               STATUS_ROLLUP_CODE             
Deal Synopsis (Text Paragraph) (All CAPS)                               SYNOPSIS_UPPER                 
Deal Synopsis (Text Paragraph) (All CAPS)                               SYNOPSIS_Q                     
Deal Type (Code)                                                        MENUMAIN                       
Deal Value ($ Mil)                                                      VAL                            
Deal Value (Euro mil)                                                   EURO_VALUE                     
Deal Value (Host Mil)                                                   HOSTVALUE                      
Deal Value (Pounds Sterling Mil)                                        STGVAL                         
Deal Value (Yen mil)                                                    YENVAL                         
Deal Value as-of Date                                                   DATEVAL                        
Deal Value at Effective Date ($ Mil)                                    VEFF                           
Deal Value at Effective Date (Euro mil)                                 EURO_VALEFF                    
Deal Value at Effective Date (Host Mil)                                 HOSTVALEFF                     
Deal Value exc. Assumed Liabilities ($ Mil)                             VALNOLIA                       
Deal Value exc. Assumed Liabilities at Effective Date ($ Mil)           VALNOLIAEFF                    
Deal Value exc. Capital Infusion ( Euro mil)                            EURO_VALNOCAPINF               
Deal Value exc. Capital Infusion ($ Mil)                                VALNOCAPINF                    
Deal Value exc. Capital Infusion (Host Mil)                             HOSTVALNOCAPINF                
Deal Value exc. Liabilities Assumed (Euro mil)                          EURO_VALNOLIA                  
Deal Value exc. Liabilities Assumed (Host Mil)                          HOSTVALNOLIA                   
Deal Value is Estimated Flag (Y/N)                                      VEST                           
Deal Value Ratio Flag                                                   DEAL_VALUE_RATIO_FLAG          
Deal Value was Amended Flag (Y/N)                                       VALAMEND                       
Debt Restructuring (Y/N Flag)                                           DBT_RESTRUCT                   
Debt Tender Offer Flag                                                  DEBT_TNDR                      
Defensive Asset Lockup Flag (Y/N)                                       LOCKA                          
Defensive Backend Poison Pill Flag (Y/N)                                BACKEND                        
Defensive Flipover Poison Pill Flag (Y/N)                               FLIP                           
Defensive Greenmail Flag (Y/N)                                          GREEN                          
Defensive Lockup Agreement Owned by Target Flag (Y/N)                   TLOCKUP                        
Defensive Lockup Flag (Y/N)                                             LOCKUP                         
Defensive Pac-Man Flag (Y/N)                                            PAC                            
Defensive Poison Pill Flag (Y/N)                                        POIS                           
Defensive Recapitalization Flag (Y/N)                                   DRECAP                         
Defensive Repurchase Flag (Y/N)                                         DREP                           
Defensive Scorched Earth Flag (Y/N)                                     SCORCH                         
Defensive Self-Tender Flag (Y/N)                                        DSELF                          
Defensive Stock Lockup Flag (Y/N)                                       LOCKS                          
Defensive Tactics (Codes)                                               RANK_MENUDEFTECH               
Defensive Tactics Flag (Y/N)                                            DEF                            
Defensive Voting Plan Poison Pill Flag (Y/N)                            VPLAN                          
Defensive White Knight Flag (Y/N)                                       KNIGHT                         
Defensive White Squire Flag (Y/N)                                       SQUIRE                         
Deferred Income Taxes Last Twelve Months (Host Mil)                     HOSTDEFERLTM                   
Deferred Taxes Last Twelve Months ($ Mil)                               DEFER                          
Definitive Agreement (Y/N)                                              DEFINITIVE_AGT                 
Definitive Agreement Date                                               DA_DATE                        
Definitive Agreement Reviewed                                           DEF_AGT_REVIEWED               
Depositary (Code)                                                       DEPYC                          
Depreciation & Amort Last Twelve Months ($ Mil)                         DEPNA                          
Depreciation & Amort Last Twelve Months (Euro Mil)                      EMU_HOSTDEPANDAMORTLTM         
Depreciation & Amort Last Twelve Months (Host Mil)                      HOSTDEPANDAMORT                
Discounted Cash Flow: Discount Rate High                                FO_DCF_RATE_HI                 
Discounted Cash Flow: Discount Rate Low                                 FO_DCF_RATE_LOW                
Discounted Cash Flow: Implied Equity Value High (Host)                  FO_DCF_EQVAL_HI_HOST           
Discounted Cash Flow: Implied Equity Value High (US$)                   FO_DCF_EQVAL_HI                
Discounted Cash Flow: Implied Equity Value Low (Host)                   FO_DCF_EQVAL_LOW_HOST          
Discounted Cash Flow: Implied Equity Value Low (US$)                    FO_DCF_EQVAL_LOW               
Discounted Cash Flow: Implied Equity Value Type (Code)                  FO_DCF_EQVAL_TYPEC             
Discounted Cash Flow: Perpetuity Growth High                            FO_DCF_PERP_HI                 
Discounted Cash Flow: Perpetuity Growth Low                             FO_DCF_PERP_LOW                
Discounted Cash Flow: Terminal Multiple High                            FO_DCF_TERM_HI                 
Discounted Cash Flow: Terminal Multiple Low                             FO_DCF_TERM_LOW                
Discounted Cash Flow: Terminal Multiple Type (Code)                     FO_DCF_TERM_TYPEC              
Divestiture Flag (Y/N)                                                  DIVEST                         
Division Flag (Y/N)                                                     DIVISION                       
Dow Jones at Announcement                                               DJDA                           
Dow Jones at Yesterday's Date                                           DJDPS                          
Dutch Auction Tender Flag (Y/N)                                         DUTCH                          
EBIT Last Twelve Months ($ Mil)                                         EBIT                           
EBIT Last Twelve Months (Euro mil)                                      EURO_EBITLTM                   
EBIT Last Twelve Months (Host Mil)                                      HOSTEBITLTM                    
EBIT Margin (%)                                                         EBITMARG                       
EBITDA 1 Year Prior ($ Mil)                                             CF1                            
EBITDA 1 Year Prior (Host Mil)                                          HOSTCASHFLOW1                  
EBITDA 2 Years Prior ($ Mil)                                            CF2                            
EBITDA 2 Years Prior (Host Mil)                                         HOSTCASHFLOW2                  
EBITDA 3 Year Growth Rate (%)                                           CF3YGR                         
EBITDA 3 Years Prior ($ Mil)                                            CF3                            
EBITDA 3 Years Prior (Host Mil)                                         HOSTCASHFLOW3                  
EBITDA 4 Years Prior ($ Mil)                                            CF4                            
EBITDA 4 Years Prior (Host Mil)                                         HOSTCASHFLOW4                  
EBITDA 5 Year Growth Rate (%)                                           CF5YGR                         
EBITDA 5 Years Prior ($ Mil)                                            CF5                            
EBITDA 5 Years Prior (Host Mil)                                         HOSTCASHFLOW5                  
EBITDA Last Twelve Months ($ Mil)                                       CF                             
EBITDA Last Twelve Months (Euro mil)                                    EURO_CASHFLOW                  
EBITDA Last Twelve Months (Host Mil)                                    HOSTCASHFLOW                   
EBITDA Margin (%)                                                       CFMARG                         
EBITDA Most Recent Quarter ($ Mil)                                      CFLQ                           
EBITDA Same Quarter 1 Year Prior ($ Mil)                                CFFQ                           
EC Status                                                               STATUS_EUC                     
Employee Participation Flag (Y/N)                                       EMP                            
Employee Stock Ownership Plan Flag (Y/N)                                ESOP                           
Enterprise Value at Announcement ($ mil)                                ENTVALANN                      
Enterprise Value at Announcement (Euro mil)                             EURO_ENTVALANN                 
Enterprise Value at Announcement (Host mil)                             HOSTENTVALANN                  
Enterprise Value at Effective Date ($ Mil)                              ENTVAL2                        
Enterprise Value at Effective Date (Euro mil)                           EURO_ENTVAL2                   
Enterprise Value at Effective Date (Host Mil)                           HOST_ENTVAL2                   
Enterprise Value Based on Financials  (Euro mil)                        EURO_ENTVAL                    
Enterprise Value Based on Financials ($ Mil)                            ENTVAL                         
Enterprise Value Based on Financials (Host Mil)                         HOSTENTVAL                     
EPS 5 Year Growth Rate (%)                                              EPS5YGR                        
EPS Last Twelve Months ($)                                              EPS                            
EPS Last Twelve Months (Euro)                                           EURO_EPSLTM                    
EPS Last Twelve Months (Host)                                           HOSTEPSLTM                     
Equity Carveout Flag (Y/N)                                              EQUITY_CARVEOUT                
Equity Value at Announcement ($ mil)                                    EQVALANN                       
Equity Value at Announcement (Euro mil)                                 EURO_EQVALANN                  
Equity Value at Announcement (Host mil)                                 HOSTEQVALANN                   
Equity Value at Effective Date in Euro                                  EURO_EQVAL2                    
Escrow (Y/N)                                                            ESCROW                         
Escrow Agent Code                                                       ESCROW_AGENT_CODE              
Escrow Agent Parent Code                                                ESCROW_AGENT_PARENT_CODE       
Estimated Acquiror Effective Income Tax Rate                            AEST_INCOME_TAX_RATE           
Estimated Pro Forma EPS After Synergies Flag                            EXP_PROFORMA_EPS               
Exchange Offer Flag (Y/N)                                               EO                             
Exchange Rate                                                           RATE                           
Exchange Rate Date                                                      EXCHRATE_DATE                  
Exchange Rate for Target Company Values                                 TRATE                          
Exchange Rate Ratio                                                     EXRATIO                        
Expected Accretive Date                                                 EXP_ACCRETIVE_DATE             
Expected Accretive/Dilutive Type                                        EXP_ACCDIL_TYPE                
Expected Pro Forma EPS After Synergies ($)                              PROFORMA_EPS                   
Expected Pro Forma EPS After Synergies (Host)                           AHOST_EXP_PROFORMA_EPS         
Expected Synergies After Taxes ($ mil)                                  AFTERTAX_SYNERGIES             
Expected Synergies After Taxes (Host mil)                               AHOST_AFTERTAX_SYNERGIES       
Expected Synergies Before Taxes ($ mil)                                 PRETAX_SYNERGIES               
Expected Synergies Before Taxes (Host mil)                              AHOST_PRETAX_SYNERGIES         
Expected Synergy Date                                                   EXP_SYNERGY_DATE               
Failed Bank Flag (Y/N)                                                  FBNK                           
Fairness Opinion Advisor on Buy/Sellside(Acquiror/Target)               BAA_BACODE_FO                  
Fairness Opinion Advisor on Buyside(Acquiror)                           AAA_AACODE_FO                  
Fairness Opinion Advisor on Sellside(Target)                            TAA_TACODE_FO                  
Fairness Opinion Author (Code)                                          FO_AUTHORC                     
Fairness Opinion Date                                                   FO_DATE                        
Fairness Opinion Source Date                                            FO_SOURCE_DATE                 
Fairness Opinion Source Type (Code)                                     FO_SOURCE_TYPEC                
Fiduciary Termination Reason (Code)                                     FIDUC_TERM_REASON              
Fiduciary Termination Right (Y/N)                                       FIDUC_TERM_RIGHT               
Financial Acquiror Flag (Y/N)                                           MERCHANT                       
Financial Advisor to Acquiror Retaining Legal Counsel                   AADVISORLEGALCODE              
Financial Advisor to Target Retaining Legal Counsel                     TADVISORLEGALCODE              
Financial Sponsor Involvement Flag (Y/N)                                FINANCIAL_INVOLV_YN            
Financial Sponsor Name/CUSIP                                            FIN_SPONSOR_CUSIP              
Financial Sponsor Role                                                  FIN_SPONSOR_ROLE               
Financials Completed Flag (Y/N)                                         FINDONE                        
Financials Footnote (Line 1)                                            FOOT                           
Financials Footnote (Line 2)                                            FOOT2                          
Financials Footnote (Line 3)                                            FOOT3                          
Financing Out Description (UPPER CASE)                                  FINANCING_OUT_TEXT_UPPER       
Financing Out Flag (Y/N)                                                FINANCING_OUT                  
Financing via Borrowings Flag (Y/N)                                     SFB                            
Financing via Bridge Loans Flag (Y/N)                                   SFBR                           
Financing via Common Stock Offering Flag (Y/N)                          SFC                            
Financing via Debt Securities Flag (Y/N)                                SFD                            
Financing via Foreign Lender Flag (Y/N)                                 SFF                            
Financing via Internal Corporate Funds Flag (Y/N)                       SFCORP                         
Financing via Junk Bonds Flag (Y/N)                                     SFJ                            
Financing via Line of Credit Flag (Y/N)                                 SFLC                           
Financing via Mezzanine Credit Flag (Y/N)                               SFMEZ                          
Financing via Preferred Stock Offering Flag (Y/N)                       SFP                            
Financing via Rights Offering Flag (Y/N)                                SFRIGHTS                       
Financing via Staple Offering                                           SFSTAPLE                       
Firm Value ($ Mil)                                                      FIRMVAL                        
Firm Value (Euro mil)                                                   EMU_HOST_FIRMVAL               
Firm Value (Host Mil)                                                   HOST_FIRMVAL                   
Forced-Vote Provisions (UPPER CASE)                                     FORCED_VOTE_TEXT_UPPER         
Forced-vote provisions Flag (Y/N)                                       FORCED_VOTE                    
Forecasted EBIT Current Fiscal Year ($ Mil)                             FORECASTEDEBIT1                
Forecasted EBIT Current Fiscal Year (Euro Mil)                          EURO_FORECASTEDEBIT1           
Forecasted EBIT Current Fiscal Year (Host Mil)                          HOSTFORECASTEDEBIT1            
Forecasted EBIT Next Twelve Months ($ Mil)                              FORECASTEDEBITNTM              
Forecasted EBIT Next Twelve Months (Euro Mil)                           EURO_FORECASTEDEBITNTM         
Forecasted EBIT Next Twelve Months (Host Mil)                           HOSTFORECASTEDEBITNTM          
Forecasted EBIT Year Two ($ Mil)                                        FORECASTEDEBIT2                
Forecasted EBIT Year Two (Euro Mil)                                     EURO_FORECASTEDEBIT2           
Forecasted EBIT Year Two (Host Mil)                                     HOSTFORECASTEDEBIT2            
Forecasted EBITDA Current Fiscal Year ($ Mil)                           FORECASTEDCF1                  
Forecasted EBITDA Current Fiscal Year (Euro Mil)                        EURO_FORECASTEDCASHFLOW1       
Forecasted EBITDA Current Fiscal Year (Host Mil)                        HOSTFORECASTEDEBITDA1          
Forecasted EBITDA Next Twelve Months (Euro Mil)                         EURO_FORECASTEDCASHFLOWNTM     
Forecasted EBITDA Next Twelve Months (Host Mil)                         HOSTFORECASTEDEBITDANTM        
Forecasted EBITDA Next Twelve Months($ Mil)                             FORECASTEDCFNTM                
Forecasted EBITDA Year Two ($ Mil)                                      FORECASTEDCF2                  
Forecasted EBITDA Year Two (Euro Mil)                                   EURO_FORECASTEDCASHFLOW2       
Forecasted EBITDA Year Two (Host Mil)                                   HOSTFORECASTEDEBITDA2          
Forecasted EPS Current Fiscal Year ($ Mil)                              FORECASTEDEPS1                 
Forecasted EPS Current Fiscal Year (Euro Mil)                           EURO_FORECASTEDEPS1            
Forecasted EPS Current Fiscal Year (Host Mil)                           HOSTFORECASTEDEPS1             
Forecasted EPS Next Twelve Months ($ Mil)                               FORECASTEDEPSNTM               
Forecasted EPS Next Twelve Months (Euro Mil)                            EURO_FORECASTEDEPSNTM          
Forecasted EPS Next Twelve Months (Host Mil)                            HOSTFORECASTEDEPSNTM           
Forecasted EPS Year Two ($ Mil)                                         FORECASTEDEPS2                 
Forecasted EPS Year Two (Euro Mil)                                      EURO_FORECASTEDEPS2            
Forecasted EPS Year Two (Host Mil)                                      HOSTFORECASTEDEPS2             
Forecasted Net Income Current Fiscal Year ($ Mil)                       FORECASTEDNI1                  
Forecasted Net Income Current Fiscal Year (Euro Mil)                    EURO_FORECASTEDNI1             
Forecasted Net Income Current Fiscal Year (Host Mil)                    HOSTFORECASTEDNI1              
Forecasted Net Income Next Twelve Months ($ Mil)                        FORECASTEDNINTM                
Forecasted Net Income Next Twelve Months (Euro Mil)                     EURO_FORECASTEDNINTM           
Forecasted Net Income Next Twelve Months (Host Mil)                     HOSTFORECASTEDNINTM            
Forecasted Net Income Year Two ($ Mil)                                  FORECASTEDNI2                  
Forecasted Net Income Year Two (Euro Mil)                               EURO_FORECASTEDNI2             
Forecasted Net Income Year Two (Host Mil)                               HOSTFORECASTEDNI2              
Forecasted Net Sales Current Fiscal Year ($ Mil)                        FORECASTEDSALES1               
Forecasted Net Sales Current Fiscal Year (Euro Mil)                     EURO_FORECASTEDSALES1          
Forecasted Net Sales Current Fiscal Year (Host Mil)                     HOSTFORECASTEDSALES1           
Forecasted Net Sales Next Twelve Months ($ Mil)                         FORECASTEDSALESNTM             
Forecasted Net Sales Next Twelve Months (Euro Mil)                      EURO_FORECASTEDSALESNTM        
Forecasted Net Sales Next Twelve Months (Host Mil)                      HOSTFORECASTEDSALESNTM         
Forecasted Net Sales Year Two ($ Mil)                                   FORECASTEDSALES2               
Forecasted Net Sales Year Two (Euro Mil)                                EURO_FORECASTEDSALES2          
Forecasted Net Sales Year Two (Host Mil)                                HOSTFORECASTEDSALES2           
Forecasted Pre-Tax Income Current Fiscal Year ($ Mil)                   FORECASTEDPTINC1               
Forecasted Pre-Tax Income Current Fiscal Year (Euro Mil)                EURO_FORECASTEDPTINC1          
Forecasted Pre-Tax Income Current Fiscal Year (Host Mil)                HOSTFORECASTEDPTINC1           
Forecasted Pre-Tax Income Next Twelve Months ($ Mil)                    FORECASTEDPTINCNTM             
Forecasted Pre-Tax Income Next Twelve Months (Euro Mil)                 EURO_FORECASTEDPTINCNTM        
Forecasted Pre-Tax Income Next Twelve Months (Host Mil)                 HOSTFORECASTEDPTINCNTM         
Forecasted Pre-Tax Income Year Two ($ Mil)                              FORECASTEDPTINC2               
Forecasted Pre-Tax Income Year Two (Euro Mil)                           EURO_FORECASTEDPTINC2          
Forecasted Pre-Tax Income Year Two (Host Mil)                           HOSTFORECASTEDPTINC2           
Form of the Deal (Code)                                                 FORMC                          
Formation of a Limited Partnership Flag (Y/N)                           FLP                            
Freeman - Acquiror Imputed Deal Fee ($Mil)                              FREEMAN_ACQ_TOTAL_FEE          
Freeman - Acquiror Imputed Deal Fee (AU$Mil)                            FREEMAN_ACQ_TOTAL_FEE_AUD      
Freeman - Acquiror Imputed Deal Fee (EURO)                              FREEMAN_ACQ_TOTAL_FEE_EURO     
Freeman - Acquiror Imputed Deal Fee (STG)                               FREEMAN_ACQ_TOTAL_FEE_STG      
Freeman - Acquiror Imputed Deal Fee (Yen)                               FREEMAN_ACQ_TOTAL_FEE_YEN      
Freeman - Imputed Fees per Investor ($Mil)                              FREEMAN_INV_FEES               
Freeman - Imputed Fees per Investor (AU$Mil)                            FREEMAN_INV_FEES_AUD           
Freeman - Imputed Fees per Investor (EURO)                              FREEMAN_INV_FEES_EURO          
Freeman - Imputed Fees per Investor (STG)                               FREEMAN_INV_FEES_STG           
Freeman - Imputed Fees per Investor (Yen)                               FREEMAN_INV_FEES_YEN           
Freeman - Target Imputed Deal Fee ($Mil)                                FREEMAN_TARGET_TOTAL_FEE       
Freeman - Target Imputed Deal Fee (AU$Mil)                              FREEMAN_TARGET_TOTAL_FEE_AUD   
Freeman - Target Imputed Deal Fee (EURO)                                FREEMAN_TARGET_TOTAL_FEE_EURO  
Freeman - Target Imputed Deal Fee (STG)                                 FREEMAN_TARGET_TOTAL_FEE_STG   
Freeman - Target Imputed Deal Fee (Yen)                                 FREEMAN_TARGET_TOTAL_FEE_YEN   
Freeman - Total Imputed Deal Fees ($Mil)                                FREEMAN_TOTAL_FEES             
Freeman - Total Imputed Deal Fees (AU$Mil)                              FREEMAN_TOTAL_FEES_AUD         
Freeman - Total Imputed Deal Fees (EURO)                                FREEMAN_TOTAL_FEES_EURO        
Freeman - Total Imputed Deal Fees (STG)                                 FREEMAN_TOTAL_FEES_STG         
Freeman - Total Imputed Deal Fees (Yen)                                 FREEMAN_TOTAL_FEES_YEN         
Gendate                                                                 GENDATE                        
Go Shop Flag (Y/N)                                                      GOSHOP_FLAG                    
Go Shop Period End Date                                                 GOSHOP_DATE                    
Going Private Flag (Y/N)                                                GPRIV                          
Goodwill 1 Year Prior ($ Mil)                                           GWIL1                          
Goodwill 2 Years Prior ($ Mil)                                          GWIL2                          
Goodwill 3 Years Prior ($ Mil)                                          GWIL3                          
Goodwill 4 Years Prior ($ Mil)                                          GWIL4                          
Goodwill 5 Years Prior ($ Mil)                                          GWIL5                          
Goodwill Last Twelve Months ($ Mil)                                     GWIL                           
Goodwill Most Recent Quarter ($ Mil)                                    GWILLQ                         
Goodwill Same Quarter 1 Year Prior ($ Mil)                              GWILFQ                         
Government Owned Involvement Flag (Y/N)                                 GOV_OWN_INVOLV_YN              
Higher of Target or Acquirer Termination Fees ($ Mil)                   TERMF                          
Higher of Target or Acquirer Termination Fees (Host Mil)                HOSTTERMFEE                    
Higher of Target or Acquirer Termination Fees as % of Value             TERMFPCT                       
History Event Acquiror Long Name                                        HANL                           
History Event Acquiror Short Name                                       HAN                            
History Event Currency (Code)                                           HCURR_CODE                     
History Event Date                                                      HDATE                          
History Event Date of Exchange Rate                                     HEXCHRATE_DATE                 
History Event Date Share Price ($)                                      HPR                            
History Event Date Share Price (Host)                                   HOSTHPRICE                     
History Event Date Value of Transaction ($ Mil)                         HVAL                           
History Event Description (Text Paragraph)                              HEVENT                         
History Event Exchange Rate                                             HRATE                          
History Event File Sequence Number                                      HCODESEQ                       
History Event Target Long Name                                          HTNL                           
History Event Value of Transaction (Host Mil)                           HOSTHVAL                       
Implied Deal Value ($ Mil)                                              VALIMP                         
Implied Deal Value (Euro mil)                                           EURO_VALIMP                    
Implied Deal Value (Host Mil)                                           HOSTVALIMP                     
Implied Equity Value and Implied Enterprise Value Available Y/N Flag    IMPL_EQENTVAL_YN               
Indemnification - D&O Insurance Flag (Y/N)                              INDEMN_DO                      
Indemnification - D&O Insurance Premium Limit                           INDEMN_DO_LIMIT                
Indemnification - D&O Insurance Type (Code)                             INDEMN_DO_TYPE                 
Indemnification - D&O Protection Period                                 INDEMN_DO_YEARS                
Indemnification - Other D&O Insurance (UPPER CASE)                      INDEMN_DO_TEXT_UPPER           
Indemnification - Other than D&O (Y/N)                                  INDEMN_NON_DO                  
Information Agent (Codes)                                               IAGENTC                        
Initial Offer Price ($)                                                 PR_INITIAL                     
Initial Reception (Code)                                                INITIAL_RECCODE                
Insurance Premiums ($ Mil)                                              PREMIUMS                       
Insurance Premiums (Host Mil)                                           HOSTPREMIUMS                   
Intangible Assets Last Twelve Months ($ Mil)                            IASS                           
Intangible Assets Last Twelve Months (Host Mil)                         HOSTIASS                       
Investor                                                                ICUTIC                         
Investor (Codes)                                                        ICODE                          
Investor 6-digit CUSIPs                                                 INVCUSIP                       
Investor Australian Stock Exchange Industry (Code)                      INVASXC                        
Investor Group Flag (Y/N)                                               INVGRP                         
Investor Group Nation (Code)                                            IGNATC                         
Investor Immediate Parent 6-digit Cusip                                 IIP                            
Investor Immediate Parent Cidgen                                        IIPCIDGEN                      
Investor Immediate Parent is a Financial Sponsor (Y/N)                  IIPFINANCIAL                   
Investor is a Financial Sponsor Flag (Y/N)                              INVFINANCIAL                   
Investor Macro Industry (Code)                                          INV_TTF_MACRO_CODE             
Investor Mid Industry (Code)                                            INV_TTF_MID_CODE               
Investor Names                                                          INV                            
Investor Nation (Code)                                                  INVNATION_CODE                 
Investor Percentage                                                     INV_PERCENT                    
Investor Primary NAIC (Code)                                            INVNAICP                       
Investor Primary SIC (Code)                                             INVSICP                        
Investor Primary Venture Economics Industry (Code)                      IVEICP                         
Investor Ultimate Parent 6-digit Cusip                                  INVUPCUSIP                     
Investor Ultimate Parent Australian Stock Exchange Industry (Code)      INVUPASXC                      
Investor Ultimate Parent CIDGEN                                         IUPCIDGEN                      
Investor Ultimate Parent is a Financial Sponsor (Y/N)                   INVUPFINANCIAL                 
Investor Ultimate Parent Macro Industry (Code)                          INV_TUP_MACRO_CODE             
Investor Ultimate Parent Mid Industry (Code)                            INV_TUP_MID_CODE               
Investor Ultimate Parent Nation (Code)                                  IUPNATION_CODE                 
Investor Ultimate Parent Primary NAIC (Code)                            INVUPNAICP                     
Investor Ultimate Parent Primary Venture Economics Industry (Code)      IUPVEICP                       
Investor Ultimate Parent SIC (Code)                                     IUPSICP                        
Investor Ultimate Parent Venture Economics Industry (Code)              IUPVEIC                        
Investor Venture Economics Industry (Code)                              IVEIC                          
IPO 6-digit CUSIP                                                       IPOCUS                         
IPO Company Name                                                        IPOISS                         
IPO Date after LBO                                                      DIPO                           
IPO Ultimate Parent CIDGEN                                              IPOUPCIDGEN                    
Joint Venture Flag (Y/N)                                                JV                             
Leveraged Buyout Flag (Y/N)                                             LBO                            
Liquidation Flag (Y/N)                                                  LIQ                            
Litigation Delay Flag (Y/N)                                             LITD                           
Litigation Flag (Y/N)                                                   LIT                            
Loan Modification Flag                                                  LOAN_MODIFY                    
Lockup Description (Text Paragraph)                                     LOCKUPD                        
Long Term Debt 1 Year Prior (Host Mil)                                  HOSTLTD1                       
Long Term Debt 2 Years Prior (Host Mil)                                 HOSTLTD2                       
Long Term Debt 3 Years Prior (Host Mil)                                 HOSTLTD3                       
Long Term Debt 4 Years Prior (Host Mil)                                 HOSTLTD4                       
Long Term Debt 5 Years Prior (Host Mil)                                 HOSTLTD5                       
Long Term Debt Last Twelve Months ($ Mil)                               LTD                            
Long Term Debt Last Twelve Months (Host Mil)                            HOSTLTD                        
Long Term Liabilities Last Twelve Months (Host Mil)                     HOSTLTLIA                      
Lowest Share Price Paid by Acquiror for Target Shares ($)               PRL                            
Lowest Share Price Paid by Acquiror for Target Shares (Euro)            EURO_PRLOW                     
Lowest Share Price Price Paid by Acquiror for Target Shares (Host)      HOSTPRLOW                      
M&A Acquiror Advisor Multiple                                           AMULT                          
M&A Financial Advisor and Mutliple Explanation                          MULT_NOTES1                    
M&A Multiple (e.g. Amount Allocated to Each Advisor)                    MA_MULT                        
M&A Target Advisor Multiple                                             TMULT                          
M&A Type (Code)                                                         MATYPECODE                     
Majority-Owned Portfolio Company Cusip                                  MAJORITY_PORT_COMP_CUSIP       
Majority-Owned Portfolio Company Role                                   MAJORITY_PORT_COMP_ROLE        
Management Participation Flag (Y/N)                                     MGMT                           
Mandatory Offering Flag (Y/N)                                           MANDOFF                        
Merger of Equals Flag (Y/N)                                             MOE                            
Minimum Shares Required as Condition to Tender Offer (Mil)              CMIN                           
Minority Interest Last Twelve Months ($ Mil)                            MININT                         
Minority Interest Last Twelve Months (Euro Mil)                         EMU_HOSTMINORITYINTEREST       
Minority Interest Last Twelve Months (Host Mil)                         HOSTMINORITYINT                
Nasdaq at Announcement                                                  NASDA                          
Nasdaq at Yesterday's Date                                              NASDPS                         
Net Assets 1 Year Prior ($ Mil)                                         NETASS1                        
Net Assets 1 Year Prior (Host Mil)                                      HOSTNETASS1                    
Net Assets 2 Years Prior ($ Mil)                                        NETASS2                        
Net Assets 2 Years Prior (Host Mil)                                     HOSTNETASS2                    
Net Assets 3 Year Growth Rate (%)                                       NETASS3YGR                     
Net Assets 3 Years Prior ($ Mil)                                        NETASS3                        
Net Assets 3 Years Prior (Host Mil)                                     HOSTNETASS3                    
Net Assets 4 Years Prior ($ Mil)                                        NETASS4                        
Net Assets 4 Years Prior (Host Mil)                                     HOSTNETASS4                    
Net Assets 5 Year Growth Rate (%)                                       NETASS5YGR                     
Net Assets 5 Years Prior ($ Mil)                                        NETASS5                        
Net Assets 5 Years Prior (Host Mil)                                     HOSTNETASS5                    
Net Assets Last Twelve Months ($ Mil)                                   NETASS                         
Net Assets Last Twelve Months (Host Mil)                                HOSTNETASS                     
Net Cash from Financing 1 Year Prior ($ Mil)                            FINCASH1                       
Net Cash from Financing 2 Years Prior ($ Mil)                           FINCASH2                       
Net Cash from Financing 3 Years Prior ($ Mil)                           FINCASH3                       
Net Cash from Financing 4 Years Prior ($ Mil)                           FINCASH4                       
Net Cash from Financing 5 Years Prior ($ Mil)                           FINCASH5                       
Net Cash from Financing Last Twelve Months ($ Mil)                      FINCASH                        
Net Cash from Financing Most Recent Quarter ($ Mil)                     FINCASHLQ                      
Net Cash from Financing Same Quarter 1 Year Prior ($ Mil)               FINCASHFQ                      
Net Cash from Investments 1 Year Prior ($ Mil)                          INVCASH1                       
Net Cash from Investments 2 Years Prior ($ Mil)                         INVCASH2                       
Net Cash from Investments 3 Years Prior ($ Mil)                         INVCASH3                       
Net Cash from Investments 4 Years Prior ($ Mil)                         INVCASH4                       
Net Cash from Investments 5 Years Prior ($ Mil)                         INVCASH5                       
Net Cash from Investments Last Twelve Months ($ Mil)                    INVCASH                        
Net Cash from Investments Most Recent Quarter ($ Mil)                   INVCASHLQ                      
Net Cash from Investments Same Quarter 1 Year Prior ($ Mil)             INVCASHFQ                      
Net Cash from Operations 1 Year Prior ($ Mil)                           OPCASH1                        
Net Cash from Operations 2 Years Prior ($ Mil)                          OPCASH2                        
Net Cash from Operations 3 Years Prior ($ Mil)                          OPCASH3                        
Net Cash from Operations 4 Years Prior ($ Mil)                          OPCASH4                        
Net Cash from Operations 5 Years Prior ($ Mil)                          OPCASH5                        
Net Cash from Operations Last Twelve Months ($ Mil)                     OPCASH                         
Net Debt Last Twelve Months ($ Mil)                                     NETDEBT                        
Net Debt Last Twelve Months (host mil)                                  HOSTNETDEBT                    
Net Income 3 Year Growth Rate (%)                                       NI3YGR                         
Net Income 5 Year Growth Rate (%)                                       NI5YGR                         
Net Income Last Twelve Months ($ Mil)                                   NI                             
Net Income Last Twelve Months (Euro mil)                                EURO_NILTM                     
Net Income Last Twelve Months (Host Mil)                                HOSTNILTM                      
Net Interest Income Last Twelve Months (Host Mil)                       HOSTNETINTINCOMELTM            
Net Sales 5 Year Growth Rate (%)                                        SALES5YGR                      
Net Sales Last Twelve Months ($ Mil)                                    SALES                          
Net Sales Last Twelve Months (Euro mil)                                 EURO_SALESLTM                  
Net Sales Last Twelve Months (Host Mil)                                 HOSTSALESLTM                   
